"* Required Fields","* обязательные поля"
"Activate?","Включить?"
"Address","Улица, дом, квартира"
"Back","Вернуться"
"Checkout","Оформить заказ"
"City","Город"
"Company","Организация"
"Confirm Password","Пароль повторно"
"Continue","Продолжить"
"Country","Страна"
"Email Address","Адрес электронной почты"
"First Name","Имя"
"General","Основное"
"Last Name","Фамилия"
"Loading next step...","Подождите..."
"Password","Пароль"
"Patronymic","Отчество"
"Please select region, state or province","Укажите область"
"Save in address book","сохранить в адресной книге"
"Select a billing address from your address book or enter a new address.","Плательщик"
"Ship to different address","доставить по другому адресу"
"Ship to this address","доставить по этому адресу"
"State/Province","Область"
"Street Address","Улица, дом, квартира / офис"
"Telephone","Телефон"
"Zip/Postal Code","Почтовый индекс"
