"<b>Theme Layout</b> are folders name (of venus themes) were stored in the folder","Как правило, тут ничего выбирать не приходится, ибо оформительская тема всего одна"
"<span style='color:#eb5e00'>Step 1:</span> Choose Default Store View","<span style='color:#eb5e00'>Шаг 1:</span> Выберите витрину"
"<span style='color:#eb5e00'>Step 2:</span> Install A Theme Sample","<span style='color:#eb5e00'>Шаг 2:</span> Выберите оформительскую тему"
"Action","Операция"
"Back","Назад"
"Choose A Store View","витрина"
"Install Sample","Установить"
"Install Sample Data","Демо-данные"
"Install theme sample which you want","Параметры"
"Theme Layout","Оформительская тема"
"Ves Tempcp","Панель управления"
"Ves Theme Control Panel - Install Data Sample","Установка демо-данных"
"Ves Template Panel","Панель управления"
